pollutant,level,x_ref,u_ref
co,0-μmol/mol,-0.02732495651,0.006264357028925742
co,2-μmol/mol,2.0131557703333334,6.79748688802598e-4
co,4-μmol/mol,4.020490606,0.0012876201908467077
co,6-μmol/mol,6.075914504666667,0.00373365488074244
co,8-μmol/mol,8.038508148666667,0.006188199238907542
no,0-nmol/mol,0.5600674242666667,0.03375944134725194
no,121-nmol/mol,120.33964426666667,0.010884545097571526
no,122-nmol/mol,40.727790696666666,0.017584002831257415
no,180-nmol/mol,182.2179868,0.05521449540554966
no,181-nmol/mol,180.18253623333334,0.005212986621991313
no,182-nmol/mol,76.04925738333333,0.04797454304128859
no,42-nmol/mol,24.696062746666666,0.1279362938126096
no,81-nmol/mol,80.68367948666666,0.003651318747341869
no,82-nmol/mol,25.68130403,0.026281045775084038
no2,0-nmol/mol,0.1908410699,0.014934013588086624
no2,120-nmol/mol,123.03679326666666,0.05844174119075662
no2,30-nmol/mol,32.9193373,0.005151105813419352
no2,60-nmol/mol,65.01035897333333,0.08231738133235961
no2,90-nmol/mol,96.83849612333333,0.002015602297760026
o3,0-nmol/mol,3.763333333333333e-5,4.706850799042227e-6
o3,120-nmol/mol,119.84872063333333,0.1480489040230774
o3,180-nmol/mol,179.1217037,0.5285354082442117
o3,40-nmol/mol,40.46284918333333,0.052049013843161525
o3,80-nmol/mol,79.97864851,0.06227081642445969
so2,0-nmol/mol,0.050754716979999996,0.006190098012966686
so2,100-nmol/mol,99.64256598666667,0.05110969718780473
so2,140-nmol/mol,139.18069266666666,0.06567969087060622
so2,180-nmol/mol,180.62892736666666,0.10606197571395384
so2,20-nmol/mol,19.726117643333332,0.011382214301228238
so2,60-nmol/mol,59.891505376666665,0.006462357032181554
so2,61-nmol/mol,59.05074074,0.004236084151871468
