pollutant,level,x_ref,u_ref
co,0-μmol/mol,-0.027727351799999998,0.0031895470757712266
co,2-μmol/mol,2.0149345153333336,7.179321290220038e-4
co,4-μmol/mol,4.021753968333334,9.220086667737754e-4
co,6-μmol/mol,6.066902764,0.004768362365630685
co,8-μmol/mol,8.045957949666667,0.004262474099673808
no,0-nmol/mol,0.6287212121666667,0.04389682072138457
no,121-nmol/mol,120.32129116666667,0.023689830610435662
no,180-nmol/mol,182.28993436666667,0.024805169833746935
no,42-nmol/mol,24.698339216666668,0.15920111087693048
no,81-nmol/mol,80.67855769333333,0.010918083186779327
no2,0-nmol/mol,0.12626835279666668,0.050946528171038286
no2,120-nmol/mol,123.0406329,0.09699683456986277
no2,30-nmol/mol,32.90925,0.004138514181397331
no2,60-nmol/mol,65.01575457666667,0.05685903171811077
no2,90-nmol/mol,96.82366666666667,0.005050316637971212
o3,0-nmol/mol,3.4399999999999996e-5,7.060689295906833e-6
o3,120-nmol/mol,120.05506116666668,0.09741069934146938
o3,180-nmol/mol,177.86966413333334,0.7415123781032724
o3,40-nmol/mol,40.503174763333334,0.043665327006237806
o3,80-nmol/mol,80.02715803666666,0.13853954380674594
so2,0-nmol/mol,0.05647798742,0.009228153387159148
so2,100-nmol/mol,99.35749019,0.09487437929644761
so2,140-nmol/mol,139.0329696,0.07270212224043641
so2,180-nmol/mol,180.61334796666665,0.044899299478368446
so2,60-nmol/mol,59.8955914,0.006574986644962817
