pollutant,run,level,replicate,sample_id,value
no,NA,82-nmol/mol,1,1,25.7321978
no,NA,82-nmol/mol,1,2,25.71343956
no,NA,82-nmol/mol,1,3,25.69504396
no,NA,82-nmol/mol,1,4,25.7530989
no,NA,82-nmol/mol,2,1,25.68278022
no,NA,82-nmol/mol,2,2,25.74825275
no,NA,82-nmol/mol,2,3,25.64441758
no,NA,82-nmol/mol,2,4,25.66447253
no2,corrida_1,0-nmol/mol,1,1,0.09647186628
no2,corrida_1,0-nmol/mol,1,2,0.1698580602
no2,corrida_1,0-nmol/mol,1,3,0.1627337415
no2,corrida_1,0-nmol/mol,1,4,0.1283666954
no2,corrida_1,0-nmol/mol,2,1,0.1759955144
no2,corrida_1,0-nmol/mol,2,2,0.1478375024
no2,corrida_1,0-nmol/mol,2,3,0.1403234099
no2,corrida_1,0-nmol/mol,2,4,0.1822125773
no2,corrida_2,120-nmol/mol,1,1,123.0339241
no2,corrida_2,120-nmol/mol,1,2,122.9940506
no2,corrida_2,120-nmol/mol,1,3,122.7431646
no2,corrida_2,120-nmol/mol,1,4,122.9306329
no2,corrida_2,120-nmol/mol,2,1,123.0116456
no2,corrida_2,120-nmol/mol,2,2,122.9667089
no2,corrida_2,120-nmol/mol,2,3,122.9779747
no2,corrida_2,120-nmol/mol,2,4,122.911519
no2,corrida_3,30-nmol/mol,1,1,32.92142857
no2,corrida_3,30-nmol/mol,1,2,32.92978571
no2,corrida_3,30-nmol/mol,1,3,32.92371429
no2,corrida_3,30-nmol/mol,1,4,32.91159524
no2,corrida_3,30-nmol/mol,2,1,32.9277619
no2,corrida_3,30-nmol/mol,2,2,32.89186905
no2,corrida_3,30-nmol/mol,2,3,32.90229762
no2,corrida_3,30-nmol/mol,2,4,32.91161905
no2,corrida_4,60-nmol/mol,1,1,65.09426374
no2,corrida_4,60-nmol/mol,1,2,64.9377033
no2,corrida_4,60-nmol/mol,1,3,64.99881319
no2,corrida_4,60-nmol/mol,1,4,64.94136264
no2,corrida_4,60-nmol/mol,2,1,64.88535165
no2,corrida_4,60-nmol/mol,2,2,65.02823077
no2,corrida_4,60-nmol/mol,2,3,64.93223077
no2,corrida_4,60-nmol/mol,2,4,65.01793407
no2,corrida_5,90-nmol/mol,1,1,96.83174419
no2,corrida_5,90-nmol/mol,1,2,96.85638372
no2,corrida_5,90-nmol/mol,1,3,96.86401163
no2,corrida_5,90-nmol/mol,1,4,96.83817442
no2,corrida_5,90-nmol/mol,2,1,96.8505
no2,corrida_5,90-nmol/mol,2,2,96.83254651
no2,corrida_5,90-nmol/mol,2,3,96.84105814
no2,corrida_5,90-nmol/mol,2,4,96.83430233
o3,corrida_1,0-nmol/mol,1,1,2.9e-5
o3,corrida_1,0-nmol/mol,1,2,3.87e-5
o3,corrida_1,0-nmol/mol,1,3,3.87e-5
o3,corrida_1,0-nmol/mol,1,4,3.23e-5
o3,corrida_1,0-nmol/mol,2,1,2.9e-5
o3,corrida_1,0-nmol/mol,2,2,2.9e-5
o3,corrida_1,0-nmol/mol,2,3,4.52e-5
o3,corrida_1,0-nmol/mol,2,4,5.16e-5
o3,corrida_2,120-nmol/mol,1,1,119.8799503
o3,corrida_2,120-nmol/mol,1,2,120.0477807
o3,corrida_2,120-nmol/mol,1,3,119.7374721
o3,corrida_2,120-nmol/mol,1,4,120.0482928
o3,corrida_2,120-nmol/mol,2,1,120.0277496
