pollutant,run,level,replicate,sample_id,value
so2,corrida_2,100-nmol/mol,1,2,99.00674157
so2,corrida_2,100-nmol/mol,2,1,100.0952381
so2,corrida_2,100-nmol/mol,2,2,99.03033708
so2,corrida_3,140-nmol/mol,1,1,139.5910112
so2,corrida_3,140-nmol/mol,1,2,138.7310345
so2,corrida_3,140-nmol/mol,2,1,138.5850575
so2,corrida_3,140-nmol/mol,2,2,139.5213483
so2,corrida_4,180-nmol/mol,1,1,180.05
so2,corrida_4,180-nmol/mol,1,2,181.0917526
so2,corrida_4,180-nmol/mol,2,1,180.0702128
so2,corrida_4,180-nmol/mol,2,2,179.9531915
so2,corrida_5,20-nmol/mol,1,1,19.75764706
so2,corrida_5,20-nmol/mol,1,2,19.72588235
so2,corrida_5,20-nmol/mol,2,1,19.80941176
so2,corrida_5,20-nmol/mol,2,2,19.69176471
so2,corrida_6,60-nmol/mol,1,1,59.8483871
so2,corrida_6,60-nmol/mol,1,2,59.84946237
so2,corrida_6,60-nmol/mol,2,1,59.81935484
so2,corrida_6,60-nmol/mol,2,2,59.93333333
so2,corrida_7,61-nmol/mol,1,1,59.08148148
so2,corrida_7,61-nmol/mol,1,2,59.05061728
so2,corrida_7,61-nmol/mol,2,1,59.02098765
so2,corrida_7,61-nmol/mol,2,2,59.02345679
