pollutant,level,x_ref,u_ref
co,0-μmol/mol,-0.018405673759999998,0.0016450572765700797
co,2-μmol/mol,2.013190937666667,5.190021036618517e-4
co,4-μmol/mol,4.022867900333333,0.0012695042171335033
co,6-μmol/mol,6.071321853,0.004156211632481172
co,8-μmol/mol,8.039843762333334,0.01827357010772585
no,0-nmol/mol,0.5537089225666667,0.006829687513520705
no,121-nmol/mol,120.35638996666667,0.01595789562487667
no,122-nmol/mol,40.74345349,0.014577751967303073
no,180-nmol/mol,182.24018846666667,0.06454892140429608
no,181-nmol/mol,180.1986232,0.01044408106744321
no,182-nmol/mol,76.00802953666667,0.043257423728450435
no,42-nmol/mol,24.996376473333335,0.19683416524675695
no,81-nmol/mol,80.69082051,0.00781354977693653
no,82-nmol/mol,25.716018316666666,0.026586901194950736
no2,0-nmol/mol,0.16616551726666667,0.018971022697241262
no2,120-nmol/mol,122.9042616,0.01769653818378065
no2,30-nmol/mol,32.915880953333335,0.004273813860370355
no2,60-nmol/mol,64.94811355666667,0.03851028646492899
no2,90-nmol/mol,96.83794961333334,0.0020439569583213055
o3,0-nmol/mol,3.873333333333333e-5,6.433333333333335e-6
o3,120-nmol/mol,119.94559533333333,0.051564339299729915
o3,180-nmol/mol,178.0110503,0.19748047215252415
o3,40-nmol/mol,40.55904355,0.07290544522473671
o3,80-nmol/mol,80.09296403666667,0.008402567499045265
so2,0-nmol/mol,0.052012578616666666,0.004250288220446331
so2,100-nmol/mol,99.44158596333334,0.15774373891297697
so2,140-nmol/mol,139.15321926666667,0.0605000475567395
so2,180-nmol/mol,180.53178803333333,0.1126712829344752
so2,20-nmol/mol,19.730980393333333,0.008209856268301115
so2,60-nmol/mol,59.893333336666664,0.013495516062112684
