"pollutant","level","replicate","sample_id","value"
"co","0-ppm",1,1,0.00670212765957447
"co","0-ppm",1,2,0.00478723404255319
"co","0-ppm",1,3,-0.0492830188679245
"co","0-ppm",1,4,0.00425531914893617
"co","0-ppm",1,5,0.00602127659574468
"co","0-ppm",1,6,-0.0522641509433962
"co","0-ppm",1,7,0.00321276595744681
"co","0-ppm",1,8,-0.0507547169811321
"co","0-ppm",1,9,-0.0519622641509434
"co","0-ppm",1,10,-0.0488867924528302
"co","0-ppm",2,1,-0.0479622641509434
"co","0-ppm",2,2,-0.0488490566037736
"co","0-ppm",2,3,-0.0474528301886792
"co","0-ppm",2,4,-0.0486792452830189
"co","0-ppm",2,5,-0.0501698113207547
"co","0-ppm",2,6,0.00585106382978723
"co","0-ppm",2,7,-0.0516415094339623
"co","0-ppm",2,8,0.00459574468085106
"co","0-ppm",2,9,0.00325531914893617
"co","0-ppm",2,10,0.00353191489361702
"co","2-ppm",1,1,2.01153535353535
"co","2-ppm",1,2,2.01617021276596
"co","2-ppm",1,3,2.02053191489362
"co","2-ppm",1,4,2.01063829787234
"co","2-ppm",1,5,2.01776595744681
"co","2-ppm",1,6,2.01147474747475
"co","2-ppm",1,7,2.00785858585859
"co","2-ppm",1,8,2.01449494949495
"co","2-ppm",1,9,2.00751515151515
"co","2-ppm",1,10,2.01702127659574
"co","2-ppm",2,1,2.01946808510638
"co","2-ppm",2,2,2.00757575757576
"co","2-ppm",2,3,2.01427272727273
"co","2-ppm",2,4,2.01957446808511
"co","2-ppm",2,5,2.01616161616162
"co","2-ppm",2,6,2.01797872340426
"co","2-ppm",2,7,2.01486868686869
"co","2-ppm",2,8,2.00776595744681
"co","2-ppm",2,9,2.01468085106383
"co","2-ppm",2,10,2.00950505050505
"co","4-ppm",1,1,4.03580952380952
"co","4-ppm",1,2,4.00663636363636
"co","4-ppm",1,3,4.00718181818182
"co","4-ppm",1,4,4.01227272727273
"co","4-ppm",1,5,4.03325
"co","4-ppm",1,6,4.01876363636364
"co","4-ppm",1,7,4.0335
"co","4-ppm",1,8,4.01718181818182
"co","4-ppm",1,9,4.00841818181818
"co","4-ppm",1,10,4.00716363636364
"co","4-ppm",2,1,4.01236363636364
"co","4-ppm",2,2,4.04040476190476
"co","4-ppm",2,3,4.03604761904762
"co","4-ppm",2,4,4.03395238095238
"co","4-ppm",2,5,4.01123636363636
"co","4-ppm",2,6,4.03289285714286
"co","4-ppm",2,7,4.03265476190476
"co","4-ppm",2,8,4.00665454545455
"co","4-ppm",2,9,4.0058
"co","4-ppm",2,10,4.00761818181818
"co","6-ppm",1,1,6.05748275862069
"co","6-ppm",1,2,6.06698850574713
"co","6-ppm",1,3,6.08269047619048
"co","6-ppm",1,4,6.08613095238095
"co","6-ppm",1,5,6.05920689655172
"co","6-ppm",1,6,6.06033333333333
"co","6-ppm",1,7,6.05841379310345
"co","6-ppm",1,8,6.05665517241379
"co","6-ppm",1,9,6.06190804597701
"co","6-ppm",1,10,6.08904761904762
"co","6-ppm",2,1,6.05466666666667
"co","6-ppm",2,2,6.0552183908046
"co","6-ppm",2,3,6.05941379310345
"co","6-ppm",2,4,6.06075862068966
"co","6-ppm",2,5,6.06193103448276
"co","6-ppm",2,6,6.06145977011494
"co","6-ppm",2,7,6.06028735632184
"co","6-ppm",2,8,6.08486904761905
"co","6-ppm",2,9,6.05902298850575
"co","6-ppm",2,10,6.06033333333333
"co","8-ppm",1,1,8.09014130434783
"co","8-ppm",1,2,8.09158695652174
"co","8-ppm",1,3,7.98675490196078
"co","8-ppm",1,4,8.09614130434783
"co","8-ppm",1,5,7.99577450980392
