"pollutant","level","participant_id","replicate","sample_group","mean_value","sd_value"
"o3","0-ppb","part_1",2,"1-10",3.54838709677414e-05,5.14558542537853e-05
"o3","0-ppb","part_1",2,"11-20",2.90322580645161e-05,2.82450011539004e-05
"o3","0-ppb","part_1",2,"21-30",2.58064516129032e-05,2.54455044434392e-05
"o3","0-ppb","part_2",3,"1-10",1.61290322580645e-05,2.2809896167308e-05
"o3","0-ppb","part_2",3,"11-20",4.51612903225801e-05,4.61238937409173e-05
"o3","0-ppb","part_2",3,"21-30",1.61290322580645e-05,2.2809896167308e-05
"o3","0-ppb","part_3",4,"1-10",1.29032258064516e-05,2.25550289929065e-05
"o3","0-ppb","part_3",4,"11-20",3.2258064516129e-05,3.40029855932084e-05
"o3","0-ppb","part_3",4,"21-30",2.90322580645161e-05,2.82450011539004e-05
"o3","0-ppb","part_4",5,"1-10",1.93548387096774e-05,2.25550289929065e-05
"o3","0-ppb","part_4",5,"11-20",2.58064516129032e-05,2.54455044434392e-05
"o3","0-ppb","part_4",5,"21-30",2.90322580645161e-05,3.20783524519921e-05
"o3","0-ppb","part_5",6,"1-10",2.90322580645161e-05,2.82450011539004e-05
"o3","0-ppb","part_5",6,"11-20",3.87096774193543e-05,4.76041798304903e-05
"o3","0-ppb","part_5",6,"21-30",3.54838709677419e-05,3.55001591811165e-05
"o3","0-ppb","part_6",7,"1-10",2.58064516129032e-05,2.54455044434392e-05
"o3","0-ppb","part_6",7,"11-20",1.61290322580645e-05,2.2809896167308e-05
"o3","0-ppb","part_6",7,"21-30",2.25806451612903e-05,3.06026870338875e-05
"o3","0-ppb","part_7",8,"1-10",4.51612903225806e-05,4.08035827118501e-05
"o3","0-ppb","part_7",8,"11-20",2.58064516129032e-05,2.54455044434392e-05
"o3","0-ppb","part_7",8,"21-30",2.90322580645161e-05,2.82450011539004e-05
"o3","0-ppb","part_8",9,"1-10",2.90322580645161e-05,3.2078352451992e-05
"o3","0-ppb","part_8",9,"11-20",1.29032258064516e-05,2.25550289929065e-05
"o3","0-ppb","part_8",9,"21-30",2.90322580645161e-05,2.38020899152459e-05
"o3","0-ppb","part_9",10,"1-10",3.2258064516129e-05,2.63385993847654e-05
"o3","0-ppb","part_9",10,"11-20",4.83870967741935e-05,2.74140834064128e-05
"o3","0-ppb","part_9",10,"21-30",3.54838709677413e-05,4.15059334744475e-05
"o3","0-ppb","ref",1,"1-10",3.87096774193548e-05,3.66223362708095e-05
"o3","0-ppb","ref",1,"11-20",2.90322580645161e-05,2.82450011539004e-05
"o3","0-ppb","ref",1,"21-30",4.516129032258e-05,5.08910088868773e-05
"o3","120-ppb","part_1",2,"1-10",120.370993063344,0.658144938274389
"o3","120-ppb","part_1",2,"11-20",119.55821317757,0.767675452134724
"o3","120-ppb","part_1",2,"21-30",120.074017892004,0.790114383214899
"o3","120-ppb","part_2",3,"1-10",119.878123385254,0.81049415113718
"o3","120-ppb","part_2",3,"11-20",120.210619449636,0.778115555793257
"o3","120-ppb","part_2",3,"21-30",119.894362201454,0.85074947559064
"o3","120-ppb","part_3",4,"1-10",120.198915077882,0.781046809116911
"o3","120-ppb","part_3",4,"11-20",119.86419549325,0.852905993180858
"o3","120-ppb","part_3",4,"21-30",120.210426365524,0.761940601881439
"o3","120-ppb","part_4",5,"1-10",120.547873001038,0.527953183939153
"o3","120-ppb","part_4",5,"11-20",120.214729667705,0.771158929997097
"o3","120-ppb","part_4",5,"21-30",120.196520737279,0.808732659699019
"o3","120-ppb","part_5",6,"1-10",120.227822377986,0.762327355396222
"o3","120-ppb","part_5",6,"11-20",119.578356593977,0.77085086873428
"o3","120-ppb","part_5",6,"21-30",119.758898286604,0.829287674970002
"o3","120-ppb","part_6",7,"1-10",119.614967092419,0.750310297474843
"o3","120-ppb","part_6",7,"11-20",119.73540721703,0.824339040899245
"o3","120-ppb","part_6",7,"21-30",119.742860944964,0.823236314147535
"o3","120-ppb","part_7",8,"1-10",119.708621619938,0.830584648239945
"o3","120-ppb","part_7",8,"11-20",119.731670051921,0.828111876054878
"o3","120-ppb","part_7",8,"21-30",119.717052367601,0.796222090854007
"o3","120-ppb","part_8",9,"1-10",119.716602803738,0.814504869974653
"o3","120-ppb","part_8",9,"11-20",119.926384787124,0.871951268786105
"o3","120-ppb","part_8",9,"21-30",119.910430996885,0.868134560461663
"o3","120-ppb","part_9",10,"1-10",120.350220508826,0.697666879650763
"o3","120-ppb","part_9",10,"11-20",119.915655254413,0.829611194754055
"o3","120-ppb","part_9",10,"21-30",119.713461339564,0.81062299613309
"o3","120-ppb","ref",1,"1-10",119.569636510904,0.768923219874076
"o3","120-ppb","ref",1,"11-20",120.073933406023,0.8171410927721
"o3","120-ppb","ref",1,"21-30",119.902591962617,0.833379512309028
"o3","180-ppb","part_1",2,"1-10",178.84303433036,2.03644719669142
"o3","180-ppb","part_1",2,"11-20",177.961437721106,2.06716469855205
"o3","180-ppb","part_1",2,"21-30",178.794531281478,2.09438367025075
"o3","180-ppb","part_2",3,"1-10",178.062091628159,1.99908607044663
"o3","180-ppb","part_2",3,"11-20",177.586024734499,1.93396458937424
"o3","180-ppb","part_2",3,"21-30",178.816540720112,2.10736674251953
"o3","180-ppb","part_3",4,"1-10",179.213562814543,1.90287919757947
"o3","180-ppb","part_3",4,"11-20",178.398944923317,2.14089304625343
"o3","180-ppb","part_3",4,"21-30",178.837503864188,2.07583086134714
"o3","180-ppb","part_4",5,"1-10",178.056647314272,2.0572864037223
"o3","180-ppb","part_4",5,"11-20",178.753135348377,1.99307277780062
"o3","180-ppb","part_4",5,"21-30",178.808543135745,2.01786630564352
"o3","180-ppb","part_5",6,"1-10",179.198991464924,1.90134742276294
"o3","180-ppb","part_5",6,"11-20",179.213918719358,1.86424941195826
"o3","180-ppb","part_5",6,"21-30",179.196456838616,1.8999234507213
"o3","180-ppb","part_6",7,"1-10",178.393995458618,2.07678146560742
"o3","180-ppb","part_6",7,"11-20",177.577013685876,1.94084025216693
"o3","180-ppb","part_6",7,"21-30",178.793713552148,2.05169422237667
"o3","180-ppb","part_7",8,"1-10",178.42413112704,2.08506580199639
"o3","180-ppb","part_7",8,"11-20",178.805831959983,2.05154245145589
"o3","180-ppb","part_7",8,"21-30",178.779642233706,2.07714974757124
"o3","180-ppb","part_8",9,"1-10",178.843463403356,2.0526683452788
"o3","180-ppb","part_8",9,"11-20",177.186729722929,1.69968085210596
"o3","180-ppb","part_8",9,"21-30",178.055132608385,2.08250899702517
"o3","180-ppb","part_9",10,"1-10",179.13851454876,2.00437058092444
"o3","180-ppb","part_9",10,"11-20",178.838689422863,2.09906747490637
"o3","180-ppb","part_9",10,"21-30",178.835145274662,2.05758175129258
"o3","180-ppb","ref",1,"1-10",178.064636855096,2.03452182024713
"o3","180-ppb","ref",1,"11-20",179.65276066651,1.62443582586105
"o3","180-ppb","ref",1,"21-30",179.647713492225,1.64705729568112
"o3","40-ppb","part_1",2,"1-10",40.4705059783886,0.339253992440951
"o3","40-ppb","part_1",2,"11-20",40.6627440685929,0.326918565576779
"o3","40-ppb","part_1",2,"21-30",40.4008902865868,0.332365623110037
"o3","40-ppb","part_2",3,"1-10",40.538408597604,0.35615584963165
"o3","40-ppb","part_2",3,"11-20",40.5786340615457,0.335451462819984
"o3","40-ppb","part_2",3,"21-30",40.6561626497533,0.311265909391167
"o3","40-ppb","part_3",4,"1-10",40.6592932346723,0.291014807569948
"o3","40-ppb","part_3",4,"11-20",40.4679923537703,0.340581945455516
"o3","40-ppb","part_3",4,"21-30",40.5349460183228,0.336955520652275
"o3","40-ppb","part_4",5,"1-10",40.3970943857177,0.315807557711406
"o3","40-ppb","part_4",5,"11-20",40.4672067066009,0.304856196448234
"o3","40-ppb","part_4",5,"21-30",40.533976744186,0.353952705298979
"o3","40-ppb","part_5",6,"1-10",40.7897821235612,0.224561385531836
"o3","40-ppb","part_5",6,"11-20",40.5982255931407,0.339609245640285
"o3","40-ppb","part_5",6,"21-30",40.5896528893587,0.321134482060035
"o3","40-ppb","part_6",7,"1-10",40.5828401808786,0.319892106351961
"o3","40-ppb","part_6",7,"11-20",40.4709506107588,0.331134699393506
"o3","40-ppb","part_6",7,"21-30",40.5164775193799,0.348467759570697
"o3","40-ppb","part_7",8,"1-10",40.8398418604651,0.0399569581687574
"o3","40-ppb","part_7",8,"11-20",40.4827934225981,0.347164098668848
"o3","40-ppb","part_7",8,"21-30",40.591373420249,0.343847176294689
"o3","40-ppb","part_8",9,"1-10",40.5181611111111,0.339830511782597
"o3","40-ppb","part_8",9,"11-20",40.4040913319239,0.325730419182531
"o3","40-ppb","part_8",9,"21-30",40.4569546629082,0.342015198978624
"o3","40-ppb","part_9",10,"1-10",40.590257787174,0.329510460167262
"o3","40-ppb","part_9",10,"11-20",40.3424575287761,0.275044155681971
"o3","40-ppb","part_9",10,"21-30",40.3352415081043,0.275809167370738
"o3","40-ppb","ref",1,"1-10",40.5663351891003,0.34365852667328
"o3","40-ppb","ref",1,"11-20",40.4208675475687,0.318058305742618
"o3","40-ppb","ref",1,"21-30",40.4013448085506,0.304395285208739
"o3","80-ppb","part_1",2,"1-10",79.6459930949605,0.354669222507079
"o3","80-ppb","part_1",2,"11-20",80.3377825106879,0.522503065113237
"o3","80-ppb","part_1",2,"21-30",79.9609401217775,0.561056769897988
"o3","80-ppb","part_2",3,"1-10",80.0861276331131,0.579467323581636
"o3","80-ppb","part_2",3,"11-20",80.3307365720948,0.527721982763502
"o3","80-ppb","part_2",3,"21-30",80.2046959062055,0.560840003138794
"o3","80-ppb","part_3",4,"1-10",79.999823655914,0.606385573609318
