"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,120.715233333333,118.990831775701,80.2353550363447,119.715233333333
"2",2,2,119.055420560748,119.075700934579,80.043707165109,117.075700934579
"3",3,3,119.011065420561,119.06946728972,80.3601775700937,116.06946728972
"4",4,4,119.179158878505,119.176859813084,80.785339563863,115.179158878505
"5",5,5,120.616344444444,120.682411111111,82.099585185185,115.682411111111
"6",6,6,119.038757009346,119.056943925234,81.36523364486,113.056943925234
"7",7,7,119.067037383178,120.702311111111,82.2564494980963,113.702311111111
"8",8,8,120.738422222222,119.122037383178,82.6201532018,112.738422222222
"9",9,9,120.739322222222,120.818166666667,83.519162962963,111.818166666667
"10",10,10,120.645088888889,120.736555555556,83.7938814814817,110.736555555556
