"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,122.159493670886,123.283544303797,82.1476793248943,122.283544303797
"2",2,2,123.035443037975,122.718987341772,82.5848101265823,121.035443037975
"3",3,3,123.005063291139,122.76835443038,82.9244725738397,120.005063291139
"4",4,4,122.236708860759,122.66582278481,82.967510548523,118.66582278481
"5",5,5,122.743037974684,123.056962025316,83.6,118.056962025316
"6",6,6,122.858227848101,122.743037974684,83.867088607595,116.858227848101
"7",7,7,122.551898734177,123.244303797468,84.2654008438817,116.244303797468
"8",8,8,123.401265822785,122.822784810127,84.7413502109707,115.401265822785
"9",9,9,122.29746835443,122.23417721519,84.5105485232067,113.29746835443
"10",10,10,122.550632911392,123.598734177215,85.383122362869,113.598734177215
