"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",80.0271580342877,0.0602129892473372,0.0238012738436016,""
"Consenso MADe (2a)","2a",80.0749944703545,0.112840385783977,0.0575836182394895,""
"Consenso nIQR (2b)","2b",80.0749944703545,0.108710480566465,0.0554760848084554,""
"Algoritmo A (3)","3",80.0958156263206,0.100649080649523,0.0513622688899092,""
