"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",32.90925,0.0213622619047387,0.00844417544900266,""
"Consenso MADe (2a)","2a",32.9153551587302,0.00868614285712562,0.00443262871518304,""
"Consenso nIQR (2b)","2b",32.9153551587302,0.00685040624999302,0.00349583330067827,""
"Algoritmo A (3)","3",32.9133846948592,0.00780821235121055,0.00398461167995066,""
