"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",19.7374901960784,0.0226811764705729,0.00896552220740366,""
"Consenso MADe (2a)","2a",19.7300980392157,0.00590292156860786,0.00301232204890803,""
"Consenso nIQR (2b)","2b",19.7300980392157,0.00466582941174361,0.00238102110117542,""
"Algoritmo A (3)","3",19.7288212242062,0.0052180048989089,0.00266280197451452,""
