"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",-0.0277273517998126,0.0411843566840626,0.0162795463863022,""
"Consenso MADe (2a)","2a",-0.0234981265890539,0.00541140210758731,0.00276149457429383,""
"Consenso nIQR (2b)","2b",-0.0234981265890539,0.00538980055198714,0.00275047107661242,""
"Algoritmo A (3)","3",-0.0225104245821275,0.00481382858428404,0.00245654661265005,""
