"source","pollutant","level","unit","instrument","mean_value","sd_value","u_value","n_hours","hour_starts"
"ronda","no2","140-ppb","ppb","calaire_ref",140.665105555556,0.294955630530225,0.170292712685621,3,"2026-05-01 16:11:00|2026-05-01 17:11:00|2026-05-01 18:11:00"
"ronda","no2","105-ppb","ppb","calaire_ref",106.059772222222,0.144846629935611,0.0836272407845351,3,"2026-05-01 19:17:00|2026-05-01 20:17:00|2026-05-01 21:17:00"
"ronda","no2","60-ppb","ppb","calaire_ref",61.6533790960452,0.104811391437882,0.0605128850608001,3,"2026-05-01 22:23:00|2026-05-01 23:23:00|2026-05-02 00:23:00"
"ronda","no2","30-ppb","ppb","calaire_ref",32.0853740740741,0.135991793658248,0.0785148986761693,3,"2026-05-02 01:22:00|2026-05-02 02:22:00|2026-05-02 03:22:00"
