"pollutant","run","level","participant_id","replicate","mean_value","sd_value","x_pt","sigma_pt","u_xpt","u_x","U_x","U_xpt","z_score","z_prime_score","zeta_score","En_score","z_score_eval","z_prime_score_eval","zeta_score_eval","En_score_eval","n_lab"
"co","corrida_1","0-μmol/mol","part_1",2,-0.02798398234,0.0282128659,-0.01840567376,0.00730384941694,0.00304327059039167,0.0282128659,0.0564257318,0.00608654118078334,-1.31140553880873,-1.21052818966959,-0.337543368120303,-0.168771684060152,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_1","0-μmol/mol","part_1",2,-0.03293311923,0.02547467387,-0.01840567376,0.00730384941694,0.00304327059039167,0.02547467387,0.05094934774,0.00608654118078334,-1.98901218257678,-1.83601124545549,-0.566243918077864,-0.283121959038932,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_1","0-μmol/mol","part_1",2,-0.0279868326,0.02858429708,-0.01840567376,0.00730384941694,0.00304327059039167,0.02858429708,0.05716859416,0.00608654118078334,-1.31179577960331,-1.21088841194152,-0.333305882706874,-0.166652941353437,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_1","0-μmol/mol","part_2",3,-0.02248920112,0.02831441262,-0.01840567376,0.00730384941694,0.00304327059039167,0.02831441262,0.05662882524,0.00608654118078334,-0.559092490396773,-0.516085375750867,-0.143394916708612,-0.0716974583543058,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_1","0-μmol/mol","part_2",3,-0.02305893216,0.02921246215,-0.01840567376,0.00730384941694,0.00304327059039167,0.02921246215,0.0584249243,0.00608654118078334,-0.637096705363008,-0.58808926648893,-0.158432776041174,-0.0792163880205872,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_1","0-μmol/mol","part_2",3,-0.01766607788,0.02881354388,-0.01840567376,0.00730384941694,0.00304327059039167,0.02881354388,0.05762708776,0.00608654118078334,0.101261107366841,0.0934717914155453,0.0255263570077508,0.0127631785038754,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_1","0-μmol/mol","part_3",4,-0.01719943798,0.02811769636,-0.01840567376,0.00730384941694,0.00304327059039167,0.02811769636,0.05623539272,0.00608654118078334,0.165150691250883,0.152446791923892,0.0426504379277635,0.0213252189638817,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_1","0-μmol/mol","part_3",4,-0.02880004014,0.0286884291,-0.01840567376,0.00730384941694,0.00304327059039167,0.0286884291,0.0573768582,0.00608654118078334,-1.4231353614564,-1.31366341057514,-0.36029757999195,-0.180148789995975,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_1","0-μmol/mol","part_3",4,-0.0289212766,0.02854126249,-0.01840567376,0.00730384941694,0.00304327059039167,0.02854126249,0.05708252498,0.00608654118078334,-1.43973434277148,-1.32898554717368,-0.366358359909001,-0.1831791799545,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_2","2-μmol/mol","part_1",2,2.012150827,0.003597189848,2.01319093766667,0.00130690709700036,0.000544544623750152,0.003597189848,0.007194379696,0.0010890892475003,-0.795856621372651,-0.734636881267063,-0.285888173105128,-0.142944086552564,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_2","2-μmol/mol","part_1",2,2.017236471,0.003196286807,2.01319093766667,0.00130690709700036,0.000544544623750152,0.003196286807,0.006392573614,0.0010890892475003,3.09550184754411,2.85738632080994,1.24771970267387,0.623859851336937,"No satisfactorio","Cuestionable","Satisfactorio","Satisfactorio",9
"co","corrida_2","2-μmol/mol","part_1",2,2.010507243,0.003719188761,2.01319093766667,0.00130690709700036,0.000544544623750152,0.003719188761,0.007438377522,0.0010890892475003,-2.05347011491964,-1.89551087531043,-0.713968450813763,-0.356984225406881,"Cuestionable","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_2","2-μmol/mol","part_2",3,2.012092091,0.005260974951,2.01319093766667,0.00130690709700036,0.000544544623750152,0.005260974951,0.010521949902,0.0010890892475003,-0.840799372188667,-0.776122497404924,-0.207757548155302,-0.103878774077651,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_2","2-μmol/mol","part_2",3,2.014069009,0.002960301343,2.01319093766667,0.00130690709700036,0.000544544623750152,0.002960301343,0.005920602686,0.0010890892475003,0.671869741428859,0.620187453626639,0.291721063303796,0.145860531651898,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
"co","corrida_2","2-μmol/mol","part_2",3,2.013911369,0.004277683727,2.01319093766667,0.00130690709700036,0.000544544623750152,0.004277683727,0.008555367454,0.0010890892475003,0.551249078826547,0.508845303532197,0.167067992150723,0.0835339960753617,"Satisfactorio","Satisfactorio","Satisfactorio","Satisfactorio",9
