"pollutant","level","n_lab","n_participants","median","niqr","made","algo_a_x","algo_a_sd","algo_a_converged"
"co","0-μmol/mol",9,9,-0.02798398234,0.004678224965526,0.00730384941694,-0.02522654445,0.00614379954030577,TRUE
"co","2-μmol/mol",9,9,2.01303011,0.00130508978459998,0.00130690709700036,2.01304614214285,0.00154761186953946,TRUE
"co","4-μmol/mol",9,9,4.025817987,0.00355129253640022,0.00330792492900052,4.02529388876347,0.0032966894058362,TRUE
"co","6-μmol/mol",9,9,6.07084101,0.00437805182429945,0.00549562280100088,6.07216075977778,0.00440440467852979,TRUE
"co","8-μmol/mol",9,9,8.029278176,0.0218949241224001,0.0192312740939999,8.03230949059101,0.0184201487735284,TRUE
"no","0-nmol/mol",9,9,0.5498075758,0.02557878118803,0.0309699834321999,0.548485792695615,0.0305121949155133,TRUE
"no","121-nmol/mol",9,9,120.3452569,0.0260480217899999,0.0261429171999888,120.354274187087,0.0292526962743698,TRUE
"no","122-nmol/mol",9,9,40.74005814,0.00900765490800143,0.0110535256699942,40.7371427510317,0.0119448397196922,TRUE
"no","180-nmol/mol",9,9,182.2615347,0.0978491537100015,0.106810257299993,182.276727188889,0.0823584750999394,TRUE
"no","181-nmol/mol",9,9,180.2116304,0.0234476896500042,0.019826968499973,180.214153188523,0.0263288256804304,TRUE
"no","182-nmol/mol",9,9,76.01417722,0.143211650630998,0.153274634519985,76.0246835444444,0.123672968359964,TRUE
"no","42-nmol/mol",9,9,24.95159412,0.131724651155999,0.159405059919998,24.8969687724521,0.181688895810929,TRUE
"no","81-nmol/mol",9,9,80.67834615,0.0118180344029998,0.0157996595499957,80.6804658111111,0.0134276402106653,TRUE
"no","82-nmol/mol",9,9,25.69504396,0.0227277687419998,0.0272806748000024,25.6926890678959,0.0438861913104838,TRUE
"no2","0-nmol/mol",9,9,0.1403234099,0.062010886090503,0.0529017309735,0.123887799547778,0.0498817733609062,TRUE
"no2","120-nmol/mol",9,9,122.9889873,0.0333115757099954,0.0336022588999839,122.983544314286,0.0721910504873999,TRUE
"no2","30-nmol/mol",9,9,32.91717857,0.0110489060010008,0.0124113011499983,32.9160846237277,0.0128509559422131,TRUE
"no2","60-nmol/mol",9,9,64.9377033,0.0902675301989986,0.0906259668700171,64.9648925533333,0.0951374082422994,TRUE
"no2","90-nmol/mol",9,9,96.8415,0.0133089221369974,0.0133470000000005,96.8438089690862,0.0131990531587861,TRUE
"o3","0-nmol/mol",9,9,2.9e-05,7.19061e-06,1.42368e-05,3.29666666666667e-05,9.63749900077816e-06,TRUE
"o3","120-nmol/mol",9,9,119.8904075,0.225135330420002,0.220666840799992,119.9099432,0.162871303920071,TRUE
"o3","180-nmol/mol",9,9,178.7509531,0.599499836459998,0.732179641599995,178.614442905946,0.742619529540263,TRUE
"o3","40-nmol/mol",9,9,40.45509271,0.177394580013002,0.0810905586400063,40.5198567222222,0.13218770670265,TRUE
"o3","80-nmol/mol",9,9,80.18835654,0.237255014618994,0.214133454640004,80.1542384705011,0.217883969478402,TRUE
"so2","0-nmol/mol",9,9,0.0479245283,0.012028641506217,0.01007320754689,0.0519001096934543,0.0149150026375192,TRUE
"so2","100-nmol/mol",9,9,99.50325843,0.163028489946002,0.160065217369999,99.5054484627761,0.14373591325199,TRUE
"so2","140-nmol/mol",9,9,139.0052577,0.0204420146700122,0.0301465723000006,138.996071657143,0.0569845869491803,TRUE
"so2","180-nmol/mol",9,9,180.5466078,0.186250957829997,0.181621230400011,180.528809723891,0.1929971619111,TRUE
"so2","20-nmol/mol",9,9,19.73047059,0.011686379523002,0.0157023450899996,19.7263398688889,0.0141674953652201,TRUE
"so2","60-nmol/mol",9,9,59.89311828,0.0132318121110012,0.0145110808499951,59.8945878133333,0.0127878295079992,TRUE
