"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",96.8236666666667,0.0663901162791221,0.0262429976956811,""
"Consenso MADe (2a)","2a",96.8395852713178,0.00408974612401018,0.00208703982944796,""
"Consenso nIQR (2b)","2b",96.8395852713178,0.00356499215114847,0.00181925243902932,""
"Algoritmo A (3)","3",96.8398124330073,0.00414437439268073,0.00211491720106765,""
