"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",3.44086021505374e-05,2.39193548387097e-05,9.4549551815115e-06,""
"Consenso MADe (2a)","2a",3.81720430107526e-05,7.97311827956971e-06,4.06876488412564e-06,""
"Consenso nIQR (2b)","2b",3.81720430107526e-05,9.96370967741939e-06,5.08458430310589e-06,""
"Algoritmo A (3)","3",3.61326403317571e-05,7.32719275326345e-06,3.73914239427376e-06,""
