"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",6.06690276409414,0.00600870689654901,0.00237514994818207,""
"Consenso MADe (2a)","2a",6.0704822044335,0.00104542571154791,0.000533491574433002,""
"Consenso nIQR (2b)","2b",6.0704822044335,0.000811532291666393,0.000414133338411282,""
"Algoritmo A (3)","3",6.07059841983812,0.00113403746947953,0.00057871107279623,""
