"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",139.032969563907,0.131254022988585,0.0518827080880036,""
"Consenso MADe (2a)","2a",139.090557492789,0.0265527801452883,0.0135501588767209,""
"Consenso nIQR (2b)","2b",139.090557492789,0.077536680227284,0.0395677714387899,""
"Algoritmo A (3)","3",139.116497684027,0.069559837345698,0.035497105851657,""
