"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",120.321291172596,0.0424970355727925,0.0167984282769028,""
"Consenso MADe (2a)","2a",120.352055335968,0.00883156785257141,0.00450684059740986,""
"Consenso nIQR (2b)","2b",120.352055335968,0.00703697826104088,0.00359104293137663,""
"Algoritmo A (3)","3",120.351866763295,0.0069653769308586,0.00355450403057431,""
