"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",0.0564779874213837,0.040572641509434,0.0160377447324129,""
"Consenso MADe (2a)","2a",0.0586477987421384,0.00937367924528305,0.00478348565905425,""
"Consenso nIQR (2b)","2b",0.0586477987421384,0.0151057358490566,0.00770861354572007,""
"Algoritmo A (3)","3",0.0536114966665102,0.0122107405632395,0.00623126745030035,""
