"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",40.5031747631352,0.0763486337208693,0.0301794473499854,""
"Consenso MADe (2a)","2a",40.5066084057631,0.06153929771355,0.0314041413598794,""
"Consenso nIQR (2b)","2b",40.5066084057631,0.0749210167579895,0.0382329712640795,""
"Algoritmo A (3)","3",40.5337917012502,0.0720964937532104,0.0367915879039834,""
