"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",2.01493451536643,0.00531001966473315,0.00209896957010505,""
"Consenso MADe (2a)","2a",2.01353248083674,0.00117044810874731,0.000597291799340941,""
"Consenso nIQR (2b)","2b",2.01353248083674,0.000951750550719881,0.000485688169099289,""
"Algoritmo A (3)","3",2.01349998925425,0.000829189000626165,0.000423143739971339,""
