"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",24.6983392156863,1.06121735294115,0.419482990973602,""
"Consenso MADe (2a)","2a",24.8902607843137,0.180771884313716,0.092249765918757,""
"Consenso nIQR (2b)","2b",24.8902607843137,0.148894465588234,0.0759823887949089,""
"Algoritmo A (3)","3",24.8582543129038,0.164757880509213,0.0840776538229197,""
