"check","status","detail","timestamp"
"file_exists:ronda","PASS","data/raw/datos_ronda_2c_r.csv","2026-05-15 13:45:07"
"file_exists:levels","PASS","data/metadata/niveles_calaire.csv","2026-05-15 13:45:07"
"separator","PASS","Separator ; detected","2026-05-15 13:45:07"
"units_row_excluded","PASS","No rows with NA timestamp","2026-05-15 13:45:07"
"hourly_n75pct","PASS","13 valid hours with n >= 45","2026-05-15 13:45:07"
"decimal_output:h_referencia_ronda","PASS","Numeric columns stored as R numeric (point decimal)","2026-05-15 13:45:07"
"ronda_level_coverage","PASS","Levels with valid hours: 0-nmol/mol, 105-nmol/mol, 140-nmol/mol, 30-nmol/mol, 60-nmol/mol","2026-05-15 13:45:07"
"row_counts","PASS","raw=799 clean=799 hourly=13 mm=0","2026-05-15 13:45:07"
"timestamp_parse","PASS","All 799 timestamps parsed","2026-05-15 13:45:07"
"chronological_order","PASS","Timestamps in chronological order","2026-05-15 13:45:07"
"duplicate_timestamps","PASS","No duplicate timestamps","2026-05-15 13:45:07"
"minute_gaps","WARN","1 gaps > 1 min detected","2026-05-15 13:45:07"
"na_counts","PASS","no2_calaire_ppb:3; no2_gen_ppb:3","2026-05-15 13:45:07"
