"source","run","date","hour_start","pollutant","level","generated_nominal","generated_mean","generated_sd","instrument","mean_value","sd_value","u_value","n","unit","valid_hour","validation_flags"
"ronda",1,"2026-05-01","2026-05-01 03:01:00","no2","0-nmol/mol",0,0,0,"calaire_ref",-0.308,0.812,0.105,60,"nmol/mol",TRUE,""
"ronda",2,"2026-05-01","2026-05-01 16:11:00","no2","140-nmol/mol",140,140,0,"calaire_ref",140.52,0.478,0.062,60,"nmol/mol",TRUE,""
"ronda",2,"2026-05-01","2026-05-01 17:11:00","no2","140-nmol/mol",140,140,0,"calaire_ref",140.471,0.469,0.061,60,"nmol/mol",TRUE,""
"ronda",2,"2026-05-01","2026-05-01 18:11:00","no2","140-nmol/mol",140,140,0,"calaire_ref",141.004,0.377,0.049,60,"nmol/mol",TRUE,""
"ronda",3,"2026-05-01","2026-05-01 19:17:00","no2","105-nmol/mol",105,105,0,"calaire_ref",106.215,3.025,0.391,60,"nmol/mol",TRUE,""
"ronda",3,"2026-05-01","2026-05-01 20:17:00","no2","105-nmol/mol",105,105,0,"calaire_ref",105.928,0.345,0.045,60,"nmol/mol",TRUE,""
"ronda",3,"2026-05-01","2026-05-01 21:17:00","no2","105-nmol/mol",105,105,0,"calaire_ref",106.037,0.343,0.044,60,"nmol/mol",TRUE,""
"ronda",4,"2026-05-01","2026-05-01 22:23:00","no2","60-nmol/mol",60,60,0,"calaire_ref",61.766,1.991,0.257,60,"nmol/mol",TRUE,""
"ronda",4,"2026-05-01","2026-05-01 23:23:00","no2","60-nmol/mol",60,60,0,"calaire_ref",61.635,0.373,0.048,60,"nmol/mol",TRUE,""
"ronda",4,"2026-05-02","2026-05-02 00:23:00","no2","60-nmol/mol",60,60,0,"calaire_ref",61.559,0.564,0.073,59,"nmol/mol",TRUE,"n=59"
"ronda",5,"2026-05-02","2026-05-02 01:22:00","no2","30-nmol/mol",30,30,0,"calaire_ref",32.239,1.475,0.19,60,"nmol/mol",TRUE,""
"ronda",5,"2026-05-02","2026-05-02 02:22:00","no2","30-nmol/mol",30,30,0,"calaire_ref",32.035,0.363,0.047,60,"nmol/mol",TRUE,""
"ronda",5,"2026-05-02","2026-05-02 03:22:00","no2","30-nmol/mol",30,30,0,"calaire_ref",31.982,0.37,0.05,54,"nmol/mol",TRUE,"n=54"
