"source","run","pollutant","level","unit","instrument","mean_h1","mean_h2","mean_h3","mean_value","sd_value","u_value","n_hours","hour_starts"
"ronda",1,"no2","0-nmol/mol","nmol/mol","calaire_ref",-0.308,NA,NA,-0.308,0.812,0.105,1,"2026-05-01 03:01:00"
"ronda",2,"no2","140-nmol/mol","nmol/mol","calaire_ref",140.52,140.471,141.004,140.665,0.295,0.17,3,"2026-05-01 16:11:00|2026-05-01 17:11:00|2026-05-01 18:11:00"
"ronda",3,"no2","105-nmol/mol","nmol/mol","calaire_ref",106.215,105.928,106.037,106.06,0.145,0.084,3,"2026-05-01 19:17:00|2026-05-01 20:17:00|2026-05-01 21:17:00"
"ronda",4,"no2","60-nmol/mol","nmol/mol","calaire_ref",61.766,61.635,61.559,61.653,0.105,0.061,3,"2026-05-01 22:23:00|2026-05-01 23:23:00|2026-05-02 00:23:00"
"ronda",5,"no2","30-nmol/mol","nmol/mol","calaire_ref",32.239,32.035,31.982,32.085,0.136,0.079,3,"2026-05-02 01:22:00|2026-05-02 02:22:00|2026-05-02 03:22:00"
