"source","run","pollutant","level","unit","instrument","mean_h1","mean_h2","mean_h3","mean_value","sd_value","u_value","n_hours","hour_starts"
"ronda",1,"no","0-nmol/mol","nmol/mol","calaire_ref",0.008,NA,NA,0.008,0.711,0.094,1,"2026-05-01 03:01:00"
"ronda",2,"no","180-nmol/mol","nmol/mol","calaire_ref",178.816,179.812,179.749,179.459,0.558,0.322,3,"2026-05-01 04:20:00|2026-05-01 05:20:00|2026-05-01 06:20:00"
"ronda",3,"no","119-nmol/mol","nmol/mol","calaire_ref",119.703,118.389,118.413,118.835,0.752,0.434,3,"2026-05-01 07:18:00|2026-05-01 08:18:00|2026-05-01 09:18:00"
"ronda",4,"no","78-nmol/mol","nmol/mol","calaire_ref",78.372,77.935,77.13,77.812,0.63,0.364,3,"2026-05-01 10:21:00|2026-05-01 11:21:00|2026-05-01 12:21:00"
"ronda",5,"no","37-nmol/mol","nmol/mol","calaire_ref",37.219,36.95,37.165,37.111,0.142,0.082,3,"2026-05-01 13:13:00|2026-05-01 14:13:00|2026-05-01 15:13:00"
