"source","run","pollutant","level","unit","instrument","mean_h1","mean_h2","mean_h3","mean_value","sd_value","u_value","n_hours","hour_starts"
"ronda_participante",1,"no","0-nmol/mol","nmol/mol","p1",-0.823,NA,NA,-0.823,0.475,0.062,1,"2026-05-01 03:01:00"
"ronda_participante",2,"no","180-nmol/mol","nmol/mol","p1",183.17,184.808,185.506,184.495,1.199,0.692,3,"2026-05-01 04:20:00|2026-05-01 05:20:00|2026-05-01 06:20:00"
"ronda_participante",3,"no","119-nmol/mol","nmol/mol","p1",122.514,121.827,121.597,121.979,0.477,0.275,3,"2026-05-01 07:18:00|2026-05-01 08:18:00|2026-05-01 09:18:00"
"ronda_participante",4,"no","78-nmol/mol","nmol/mol","p1",80.145,80.213,78.823,79.727,0.784,0.453,3,"2026-05-01 10:21:00|2026-05-01 11:21:00|2026-05-01 12:21:00"
"ronda_participante",5,"no","37-nmol/mol","nmol/mol","p1",38.418,38.054,38.233,38.235,0.182,0.105,3,"2026-05-01 13:13:00|2026-05-01 14:13:00|2026-05-01 15:13:00"
