"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",0.628721212121212,0.0689669898989891,0.027261596430829,""
"Consenso MADe (2a)","2a",0.560525883838384,0.0144055723905726,0.00735131287700585,""
"Consenso nIQR (2b)","2b",0.560525883838384,0.0115934671275254,0.00591626641920156,""
"Algoritmo A (3)","3",0.561206191328775,0.0136436098828796,0.00696247551305181,""
