"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",80.6785576923077,0.0390713461538382,0.0154443056368735,""
"Consenso MADe (2a)","2a",80.6809423076923,0.0069539391025607,0.00354866718826277,""
"Consenso nIQR (2b)","2b",80.6809423076923,0.00560132932692163,0.00285841640255107,""
"Algoritmo A (3)","3",80.6810604899938,0.00498897633533024,0.00254592632507905,""
