"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",76.0979324894515,0.371500886075972,0.146848619096351,""
"Consenso MADe (2a)","2a",76.0578164556962,0.0289716877637277,0.0147845525017433,""
"Consenso nIQR (2b)","2b",76.0578164556962,0.026155847784812,0.0133476001797282,""
"Algoritmo A (3)","3",76.0582780080967,0.0272598366176047,0.0139109771218267,""
