"Parametro","Valor"
"Media general","4.47512"
"DE de medias","1.03365"
"Varianza de las medias (s_x_bar_sq)","1.06844"
"sw","2.31408"
"Varianza dentro de la muestra (s_w_sq)","5.35498"
"ss","1.26848"
"---",""
"Valor asignado (xpt)","4.03482"
"Mediana de diferencias absolutas","0.00200"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00297"
"nIQR","0.13281"
"Incertidumbre del valor asignado (u_xpt)","0.00117"
"---",""
"Criterio c","0.00089"
"Criterio c (expandido)","2.32563"
