"Parametro","Valor"
"Media general","27.25889"
"Diferencia absoluta respecto a la media general","1.42928"
"DE de medias","0.23336"
"Varianza de las medias (s_x_bar_sq)","0.05446"
"sw","27.33431"
"Varianza dentro de la muestra (s_w_sq)","747.16443"
"ss","19.32687"
"---",""
"Valor asignado (xpt)","40.12350"
"Mediana de diferencias absolutas","0.00620"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00920"
"nIQR","0.00460"
"Incertidumbre del valor asignado (u_xpt)","0.00813"
"---",""
"Criterio c","0.04229"
"Criterio c (expandido)","27.47070"
