"Parametro","Valor"
"Media general","1.16870"
"DE de medias","1.01312"
"Varianza de las medias (s_x_bar_sq)","1.02641"
"sw","5.03373"
"Varianza dentro de la muestra (s_w_sq)","25.33847"
"ss","3.41216"
"---",""
"Valor asignado (xpt)","-0.99986"
"Mediana de diferencias absolutas","0.01594"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.02364"
"nIQR","0.01720"
"Incertidumbre del valor asignado (u_xpt)","0.00935"
"---",""
"Criterio c","0.00709"
"Criterio c (expandido)","5.05885"
