"Parametro","Valor"
"Media general","92.48703"
"DE de medias","1.00611"
"Varianza de las medias (s_x_bar_sq)","1.01225"
"sw","92.30265"
"Varianza dentro de la muestra (s_w_sq)","8519.77930"
"ss","65.26008"
"---",""
"Valor asignado (xpt)","135.98030"
"Mediana de diferencias absolutas","0.00732"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.01086"
"nIQR","0.00917"
"Incertidumbre del valor asignado (u_xpt)","0.00429"
"---",""
"Criterio c","0.00326"
"Criterio c (expandido)","92.76302"
