"Item","sample_id","sample_1","sample_2","average","range"
1,1,40.1005418994413,40.1396703910615,27.0800707635009,39.1396703910615
2,2,40.1950446927374,40.134061452514,27.4430353817505,38.1950446927374
3,3,40.1836983240223,40.164938547486,27.7828789571694,37.1836983240223
4,4,40.1484636871508,40.2247374301676,28.1244003724395,36.2247374301676
5,5,40.2202569832402,40.1480837988827,28.456113594041,35.2202569832402
6,6,40.2025642458101,40.2221340782123,28.8082327746741,34.2221340782123
7,7,40.1788882681564,40.1492569832402,29.1093817504655,33.1788882681564
8,8,40.2212793296089,40.1771396648045,29.4661396648045,32.2212793296089
9,9,40.2212793296089,40.1869553072626,29.8027448789572,31.2212793296089
10,10,40.1327039106145,40.2086815642458,30.1137951582868,30.2086815642458
