"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,181.010309278351,180.852577319588,120.954295532646,180.010309278351
"2",2,2,180.849484536082,181.058762886598,121.302749140893,179.058762886598
"3",3,3,180.822680412371,180.857731958763,121.560137457045,177.857731958763
"4",4,4,180.922680412371,180.343617021277,121.755432477883,176.922680412371
"5",5,5,180.18829787234,180.170212765957,121.786170212766,175.18829787234
"6",6,6,180.235106382979,180.203191489362,122.14609929078,174.235106382979
"7",7,7,180.759793814433,181.016494845361,122.925429553265,174.016494845361
"8",8,8,180.90412371134,180.153191489362,123.019105066901,172.90412371134
"9",9,9,180.139361702128,180.056382978723,123.06524822695,171.139361702128
"10",10,10,180.846391752577,180.28085106383,123.709080938802,170.846391752577
