"Parametro","Valor"
"Media general","93.52678"
"Diferencia absoluta respecto a la media general","1.35697"
"DE de medias","0.22326"
"Varianza de las medias (s_x_bar_sq)","0.04984"
"sw","97.66089"
"Varianza dentro de la muestra (s_w_sq)","9537.64901"
"ss","69.05632"
"---",""
"Valor asignado (xpt)","139.55056"
"Mediana de diferencias absolutas","0.08539"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.12664"
"nIQR","0.06330"
"Incertidumbre del valor asignado (u_xpt)","0.11193"
"---",""
"Criterio c","0.01125"
"Criterio c (expandido)","98.14798"
