"Componente","Valor"
"Valor asignado (xpt)","59.87473"
"DE robusta (sigma_pt)","0.02232"
"Incertidumbre del valor asignado (u_xpt)","0.00882"
"DE entre muestras (ss)","27.23063"
"DE dentro de la muestra (sw)","38.53638"
"---",""
"Criterio c","0.00670"
"Criterio c (expandido)","38.72858"
