"Componente","Valor"
"Valor asignado (xpt)","-0.02974"
"DE robusta (sigma_pt)","0.02130"
"Incertidumbre del valor asignado (u_xpt)","0.00842"
"DE entre muestras (ss)","2.95490"
"DE dentro de la muestra (sw)","4.41379"
"---",""
"Criterio c","0.00639"
"Criterio c (expandido)","4.43581"
