"Parametro","Valor"
"Media general","120.76332"
"Diferencia absoluta respecto a la media general","1.35250"
"DE de medias","0.22910"
"Varianza de las medias (s_x_bar_sq)","0.05248"
"sw","126.52318"
"Varianza dentro de la muestra (s_w_sq)","16008.11508"
"ss","89.46511"
"---",""
"Valor asignado (xpt)","180.43006"
"Mediana de diferencias absolutas","0.01200"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.01779"
"nIQR","0.00889"
"Incertidumbre del valor asignado (u_xpt)","0.01573"
"---",""
"Criterio c","0.00754"
"Criterio c (expandido)","127.15422"
