"Componente","Valor"
"Valor asignado (xpt)","122.18082"
"DE robusta (sigma_pt)","0.03908"
"Incertidumbre del valor asignado (u_xpt)","0.01545"
"DE entre muestras (ss)","58.36117"
"DE dentro de la muestra (sw)","82.54746"
"---",""
"Criterio c","0.01172"
"Criterio c (expandido)","82.95917"
