"Componente","Valor"
"Valor asignado (xpt)","-0.99986"
"DE robusta (sigma_pt)","0.02364"
"Incertidumbre del valor asignado (u_xpt)","0.00935"
"DE entre muestras (ss)","3.41216"
"DE dentro de la muestra (sw)","5.03373"
"---",""
"Criterio c","0.00709"
"Criterio c (expandido)","5.05885"
