"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",44.8140877589454,0.0362413361581275,0.0143256459634374,""
"Consenso MADe (2a)","2a",44.8156302259887,0.00355403323914475,0.00181365999266574,""
"Consenso nIQR (2b)","2b",44.8156302259887,0.00366430453390817,0.00186993257713374,""
"Algoritmo A (3)","3",44.8160033893958,0.00323079297080492,0.00164870713396722,""
