"Parametro","Valor"
"Media general","1.79188"
"DE de medias","1.00875"
"Varianza de las medias (s_x_bar_sq)","1.01758"
"sw","4.43758"
"Varianza dentro de la muestra (s_w_sq)","19.69207"
"ss","2.97127"
"---",""
"Valor asignado (xpt)","-0.07446"
"Mediana de diferencias absolutas","0.01092"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.01620"
"nIQR","0.01475"
"Incertidumbre del valor asignado (u_xpt)","0.00640"
"---",""
"Criterio c","0.00486"
"Criterio c (expandido)","4.45971"
