"","Item","sample_id","sample_1","sample_2","average","range"
"1",1,1,180.180434782609,180.21847826087,120.466304347826,179.21847826087
"2",2,2,180.20652173913,180.184782608696,120.797101449275,178.20652173913
"3",3,3,180.307608695652,180.234782608696,121.180797101449,177.307608695652
"4",4,4,180.173913043478,180.369565217391,121.514492753623,176.369565217391
"5",5,5,180.260869565217,180.210869565217,121.823913043478,175.260869565217
"6",6,6,180.238043478261,180.202173913043,122.146739130435,174.238043478261
"7",7,7,180.226086956522,180.297826086957,122.507971014493,173.297826086957
"8",8,8,180.116304347826,180.257608695652,122.791304347826,172.257608695652
"9",9,9,180.14347826087,180.091304347826,123.078260869565,171.14347826087
"10",10,10,180.258695652174,180.171739130435,123.476811594203,170.258695652174
