"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",81.611190729783,0.0649009940828087,0.0256543704638483,""
"Consenso MADe (2a)","2a",81.5913669625247,0.0135498521696402,0.00691462998036711,""
"Consenso nIQR (2b)","2b",81.5913669625247,0.0111529827810739,0.00569148269243288,""
"Algoritmo A (3)","3",81.5934034516765,0.0102683029320205,0.00524002139745307,""
