"Componente","Valor"
"Valor asignado (xpt)","100.03571"
"DE robusta (sigma_pt)","0.05826"
"Incertidumbre del valor asignado (u_xpt)","0.02303"
"DE entre muestras (ss)","47.29828"
"DE dentro de la muestra (sw)","66.90479"
"---",""
"Criterio c","0.01748"
"Criterio c (expandido)","67.23849"
