"Componente","Valor"
"Valor asignado (xpt)","80.42748"
"DE robusta (sigma_pt)","0.09680"
"Incertidumbre del valor asignado (u_xpt)","0.03827"
"DE entre muestras (ss)","37.48809"
"DE dentro de la muestra (sw)","53.03453"
"---",""
"Criterio c","0.02904"
"Criterio c (expandido)","53.29905"
