"Parametro","Valor"
"Media general","81.95535"
"Diferencia absoluta respecto a la media general","1.32614"
"DE de medias","0.26392"
"Varianza de las medias (s_x_bar_sq)","0.06965"
"sw","85.34559"
"Varianza dentro de la muestra (s_w_sq)","7283.86967"
"ss","60.34787"
"---",""
"Valor asignado (xpt)","122.19601"
"Mediana de diferencias absolutas","0.03849"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.05709"
"nIQR","0.02854"
"Incertidumbre del valor asignado (u_xpt)","0.05046"
"---",""
"Criterio c","0.01172"
"Criterio c (expandido)","85.77126"
