"Componente","Valor"
"Valor asignado (xpt)","5.77369"
"DE robusta (sigma_pt)","0.00822"
"Incertidumbre del valor asignado (u_xpt)","0.00325"
"DE entre muestras (ss)","1.06265"
"DE dentro de la muestra (sw)","2.08569"
"---",""
"Criterio c","0.00247"
"Criterio c (expandido)","2.09610"
