"Parametro","Valor"
"Media general","40.43333"
"Diferencia absoluta respecto a la media general","1.33222"
"DE de medias","0.24128"
"Varianza de las medias (s_x_bar_sq)","0.05822"
"sw","41.31772"
"Varianza dentro de la muestra (s_w_sq)","1707.15373"
"ss","29.21504"
"---",""
"Valor asignado (xpt)","59.91452"
"Mediana de diferencias absolutas","0.03602"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.05342"
"nIQR","0.02670"
"Incertidumbre del valor asignado (u_xpt)","0.04722"
"---",""
"Criterio c","0.00670"
"Criterio c (expandido)","41.52379"
