"Parametro","Valor"
"Media general","1.81142"
"DE de medias","1.00466"
"Varianza de las medias (s_x_bar_sq)","1.00935"
"sw","4.41379"
"Varianza dentro de la muestra (s_w_sq)","19.48155"
"ss","2.95490"
"---",""
"Valor asignado (xpt)","-0.02974"
"Mediana de diferencias absolutas","0.01436"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.02130"
"nIQR","0.02131"
"Incertidumbre del valor asignado (u_xpt)","0.00842"
"---",""
"Criterio c","0.00639"
"Criterio c (expandido)","4.43581"
