"Parametro","Valor"
"Media general","56.21690"
"DE de medias","1.01255"
"Varianza de las medias (s_x_bar_sq)","1.02525"
"sw","53.84974"
"Varianza dentro de la muestra (s_w_sq)","2899.79417"
"ss","38.06405"
"---",""
"Valor asignado (xpt)","81.57381"
"Mediana de diferencias absolutas","0.04376"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.06490"
"nIQR","0.06168"
"Incertidumbre del valor asignado (u_xpt)","0.02565"
"---",""
"Criterio c","0.01947"
"Criterio c (expandido)","54.11832"
