"Parametro","Valor"
"Media general","5.76483"
"DE de medias","1.02266"
"Varianza de las medias (s_x_bar_sq)","1.04584"
"sw","2.08569"
"Varianza dentro de la muestra (s_w_sq)","4.35012"
"ss","1.06265"
"---",""
"Valor asignado (xpt)","5.77369"
"Mediana de diferencias absolutas","0.00554"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00822"
"nIQR","0.17597"
"Incertidumbre del valor asignado (u_xpt)","0.00325"
"---",""
"Criterio c","0.00247"
"Criterio c (expandido)","2.09610"
