"Componente","Valor"
"Valor asignado (xpt)","40.18937"
"DE robusta (sigma_pt)","0.04656"
"Incertidumbre del valor asignado (u_xpt)","0.01840"
"DE entre muestras (ss)","17.37964"
"DE dentro de la muestra (sw)","24.62076"
"---",""
"Criterio c","0.01397"
"Criterio c (expandido)","24.74357"
