"Parametro","Valor"
"Media general","94.88375"
"DE de medias","1.01562"
"Varianza de las medias (s_x_bar_sq)","1.03149"
"sw","94.85577"
"Varianza dentro de la muestra (s_w_sq)","8997.61633"
"ss","67.06547"
"---",""
"Valor asignado (xpt)","139.61629"
"Mediana de diferencias absolutas","0.02528"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.03749"
"nIQR","0.08579"
"Incertidumbre del valor asignado (u_xpt)","0.01482"
"---",""
"Criterio c","0.01125"
"Criterio c (expandido)","95.32887"
