"Parametro","Valor"
"Media general","41.76556"
"DE de medias","1.00944"
"Varianza de las medias (s_x_bar_sq)","1.01898"
"sw","38.53638"
"Varianza dentro de la muestra (s_w_sq)","1485.05253"
"ss","27.23063"
"---",""
"Valor asignado (xpt)","59.87473"
"Mediana de diferencias absolutas","0.01505"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.02232"
"nIQR","0.03109"
"Incertidumbre del valor asignado (u_xpt)","0.00882"
"---",""
"Criterio c","0.00670"
"Criterio c (expandido)","38.72858"
