"Parametro","Valor"
"Media general","4.50386"
"Diferencia absoluta respecto a la media general","1.26097"
"DE de medias","0.16401"
"Varianza de las medias (s_x_bar_sq)","0.02690"
"sw","3.26127"
"Varianza dentro de la muestra (s_w_sq)","10.63588"
"ss","2.30023"
"---",""
"Valor asignado (xpt)","6.08520"
"Mediana de diferencias absolutas","0.00228"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00338"
"nIQR","0.00169"
"Incertidumbre del valor asignado (u_xpt)","0.00299"
"---",""
"Criterio c","0.00247"
"Criterio c (expandido)","3.27754"
