"Parametro","Valor"
"Media general","0.44906"
"Diferencia absoluta respecto a la media general","1.34282"
"DE de medias","0.21503"
"Varianza de las medias (s_x_bar_sq)","0.04624"
"sw","1.17810"
"Varianza dentro de la muestra (s_w_sq)","1.38793"
"ss","0.80481"
"---",""
"Valor asignado (xpt)","-0.07363"
"Mediana de diferencias absolutas","0.01704"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.02526"
"nIQR","0.01263"
"Incertidumbre del valor asignado (u_xpt)","0.02233"
"---",""
"Criterio c","0.00486"
"Criterio c (expandido)","1.18400"
