"Parametro","Valor"
"Media general","3.15441"
"DE de medias","1.01149"
"Varianza de las medias (s_x_bar_sq)","1.02312"
"sw","3.22638"
"Varianza dentro de la muestra (s_w_sq)","10.40950"
"ss","2.04490"
"---",""
"Valor asignado (xpt)","2.00883"
"Mediana de diferencias absolutas","0.00558"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00827"
"nIQR","0.05382"
"Incertidumbre del valor asignado (u_xpt)","0.00327"
"---",""
"Criterio c","0.00248"
"Criterio c (expandido)","3.24247"
