"Parametro","Valor"
"Media general","-0.17632"
"Diferencia absoluta respecto a la media general","1.34502"
"DE de medias","0.23038"
"Varianza de las medias (s_x_bar_sq)","0.05307"
"sw","1.81958"
"Varianza dentro de la muestra (s_w_sq)","3.31089"
"ss","1.26585"
"---",""
"Valor asignado (xpt)","-1.00642"
"Mediana de diferencias absolutas","0.00284"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00421"
"nIQR","0.00211"
"Incertidumbre del valor asignado (u_xpt)","0.00372"
"---",""
"Criterio c","0.00709"
"Criterio c (expandido)","1.82869"
